,Pred_A,Pred_B,Pred_C,Pred_D
Gold_A,0.7622950819672131,0.13114754098360656,0.10655737704918032,0.0
Gold_B,0.11607142857142858,0.8392857142857143,0.044642857142857144,0.0
Gold_C,0.1625,0.16875,0.66875,0.0
Gold_D,0.0,0.3333333333333333,0.16666666666666666,0.5
