model,S1,S2,S3,S4,S5,S6
glm-5.3,0.8239,0.7788,0.7653,0.7424,0.7408,0.7701
gpt-5.6,0.907,0.8694,0.81,0.8231,0.8577,0.8944
qwen3.8-max,0.8771,0.8527,0.7861,0.7972,0.7699,0.8125
