model,S1,S2,S3,S4,S5,S6
glm-5.3,0.7197,0.7327,0.7165,0.7241,0.6303,0.6409
gpt-5.6,0.9048,0.8502,0.7578,0.8277,0.8116,0.8991
qwen3.8-max,0.8567,0.838,0.7884,0.7982,0.7418,0.8064
