model,S1_accuracy,S2_accuracy,S3_accuracy,S4_accuracy,S5_accuracy,S6_accuracy,S1_macro_f1,S2_macro_f1,S3_macro_f1,S4_macro_f1,S5_macro_f1,S6_macro_f1,S1_weighted_f1,S2_weighted_f1,S3_weighted_f1,S4_weighted_f1,S5_weighted_f1,S6_weighted_f1
glm-5.3,0.825,0.7775,0.765,0.7425,0.7425,0.775,0.7197306791569087,0.7326688314871336,0.7165298173800883,0.7240514658872722,0.6302628287481087,0.6408876680241118,0.8238571428571427,0.7787979834357222,0.7652669269016198,0.7423682715314613,0.740845774052753,0.7701012113744216
gpt-5.6,0.9075,0.87,0.8125,0.8225,0.8575,0.895,0.9047920596535235,0.8502325840193299,0.7577768219511797,0.8277032653843841,0.8116360916425528,0.899051365962114,0.9069741736523436,0.8693933747762255,0.8099855691503235,0.8230558062938721,0.8577287853776775,0.894355659523026
qwen3.8-max,0.8775,0.8525,0.785,0.795,0.77,0.815,0.8566536144578314,0.8380285183030731,0.7884007968745066,0.798240726088699,0.741844063689858,0.8063625967668528,0.8770857831325303,0.8526903248736882,0.7860544406520822,0.7971640672006549,0.769913464866736,0.8124517581835723
