,Pred_A,Pred_B,Pred_C,Pred_D
Gold_A,0.8524590163934426,0.03278688524590164,0.11475409836065574,0.0
Gold_B,0.09821428571428571,0.8660714285714286,0.03571428571428571,0.0
Gold_C,0.075,0.05,0.8625,0.0125
Gold_D,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666
