,Pred_A,Pred_B,Pred_C,Pred_D
Gold_A,0.860655737704918,0.02459016393442623,0.11475409836065574,0.0
Gold_B,0.14285714285714285,0.8125,0.044642857142857144,0.0
Gold_C,0.03125,0.04375,0.925,0.0
Gold_D,0.0,0.0,0.3333333333333333,0.6666666666666666
