model,comparison,delta_accuracy,acc_ci_low,acc_ci_high,delta_macro_f1,macro_f1_ci_low,macro_f1_ci_high
glm-5.3,S1_vs_S2,0.06000000000000005,0.01749999999999996,0.10249999999999992,0.060137759078429553,-0.12934899154572496,0.24348084386796867
glm-5.3,S1_vs_S3,0.07250000000000001,0.02499999999999991,0.12,0.07627677318547488,-0.07746228800363032,0.21695592668612826
glm-5.3,S2_vs_S3,0.012499999999999956,-0.030000000000000027,0.057499999999999996,0.016139014107045324,-0.0854970713526626,0.10873212870354587
gpt-5.6,S1_vs_S2,0.010000000000000009,-0.015000000000000013,0.03500000000000003,-0.00929818938822713,-0.06311684524818607,0.02533539616812766
gpt-5.6,S1_vs_S3,0.0675,0.03249999999999997,0.10250000000000004,0.08315757267992308,0.030318720828427705,0.1756224503908821
gpt-5.6,S2_vs_S3,0.057499999999999996,0.020000000000000018,0.09250000000000003,0.0924557620681502,0.026362272271858576,0.1920386246227476
qwen3.8-max,S1_vs_S2,0.010000000000000009,-0.01749999999999996,0.03749999999999998,0.005666004517498768,-0.015814670901867264,0.027110799249889603
qwen3.8-max,S1_vs_S3,0.07750000000000001,0.040000000000000036,0.11499999999999999,0.0552937259460653,0.02737159316000586,0.08419588809151682
qwen3.8-max,S2_vs_S3,0.0675,0.02750000000000008,0.10506249999999918,0.04962772142856653,0.020356942883333985,0.07903572880305237
